ONS Code,Area name,Mode,Purpose,Frequency,2021,2020,2019,2018,2017,2016
E09000020,Kensington and Chelsea,Cycling,Leisure,At least once per month,14.0926931602504,16.977700000000002,11.521976978943126,17.1751,12.9553,14.690600000000002
E09000020,Kensington and Chelsea,Cycling,Leisure,At least once per week,9.82008526081118,10.3048,5.021196407217849,10.8534,8.7721,7.3819
E09000020,Kensington and Chelsea,Cycling,Leisure,At least 3 times per week,2.83323491203327,3.5791000000000004,0.2891971616718283,2.9231,2.8319,2.6146
E09000020,Kensington and Chelsea,Cycling,Leisure,At least 5 times per week,1.25190168382293,1.1402,0,1.3321,1.9959999999999998,0.9480000000000001
E09000022,Lambeth,Cycling,Leisure,At least once per month,16.7284943939875,25.0682,16.697134240169753,14.5863,14.3422,14.122399999999999
E09000022,Lambeth,Cycling,Leisure,At least once per week,8.04729186444469,16.2383,9.495633219009232,8.641300000000001,8.7728,6.329700000000001
E09000022,Lambeth,Cycling,Leisure,At least 3 times per week,1.31420965602782,7.0215,2.1883781203358468,1.7978,2.5583,2.2720000000000002
E09000022,Lambeth,Cycling,Leisure,At least 5 times per week,0.29636128436912,1.8203,1.839015854781872,0.6507,1.6335,1.5466
E09000023,Lewisham,Cycling,Leisure,At least once per month,11.5209382724276,14.6629,14.139455808325557,14.7092,10.0955,12.1686
E09000023,Lewisham,Cycling,Leisure,At least once per week,5.25819405906051,7.984299999999999,6.517296756925648,6.7986,6.1531,6.4902
E09000023,Lewisham,Cycling,Leisure,At least 3 times per week,2.5383295711837,1.5959,0.9460485133234066,0.23270000000000002,1.3028,1.8984
E09000023,Lewisham,Cycling,Leisure,At least 5 times per week,1.92649519065402,0.9488,0.7909297920219577,0.1804,0.1374,0.7847
E09000025,Newham,Cycling,Leisure,At least once per month,8.22900622768223,9.5404,10.685459218815147,11.3201,11.9126,9.2496
E09000025,Newham,Cycling,Leisure,At least once per week,4.05635498816165,6.2387999999999995,4.672011394688175,6.809800000000001,4.276400000000001,5.8098
E09000025,Newham,Cycling,Leisure,At least 3 times per week,0.741312665478275,0.8966999999999999,1.1197166176956996,2.9058,1.3828,1.9952999999999999
E09000025,Newham,Cycling,Leisure,At least 5 times per week,0.104343015667536,0.5669000000000001,0.8510905384442516,0.9167,1.2715,0.7684
E09000028,Southwark,Cycling,Leisure,At least once per month,16.2548959388462,16.6137,16.676344739381786,20.5939,17.955099999999998,19.5838
E09000028,Southwark,Cycling,Leisure,At least once per week,8.63001562809687,8.4385,11.079045510343716,13.724900000000002,9.8249,11.879299999999999
E09000028,Southwark,Cycling,Leisure,At least 3 times per week,3.5095847050524,1.7872,2.58733114686731,1.6521000000000001,1.5489,5.0576
E09000028,Southwark,Cycling,Leisure,At least 5 times per week,1.23995956770676,0.7438,1.6580976753669312,0.2919,0.8985,1.8217
E09000030,Tower Hamlets,Cycling,Leisure,At least once per month,10.0527428015281,13.942499999999999,15.237701327744546,10.758099999999999,19.220100000000002,15.569700000000001
E09000030,Tower Hamlets,Cycling,Leisure,At least once per week,4.41884887880527,8.8666,7.125086316576658,3.9218,10.1005,7.550999999999999
E09000030,Tower Hamlets,Cycling,Leisure,At least 3 times per week,1.63903995390631,3.2177,2.6873079353765625,0.5351,1.8605,1.7916
E09000030,Tower Hamlets,Cycling,Leisure,At least 5 times per week,0.729377336271196,1.4736,0.9012240088479128,0.1203,1.1713,0.8658000000000001
E09000032,Wandsworth,Cycling,Leisure,At least once per month,17.5475233041396,23.519499999999997,23.647756907603547,18.3937,13.7193,20.053
